word,word_category,color,color_category,congruency,correct_key
dominant,masculine,blue,masculine,congruent,m
dominant,masculine,pink,feminine,incongruent,m
nurturing,feminine,pink,feminine,congruent,f
nurturing,feminine,blue,masculine,incongruent,f
assertive,masculine,blue,masculine,congruent,m
assertive,masculine,pink,feminine,incongruent,m
gentle,feminine,pink,feminine,congruent,f
gentle,feminine,blue,masculine,incongruent,f
athletic,masculine,blue,masculine,congruent,m
athletic,masculine,pink,feminine,incongruent,m
delicate,feminine,pink,feminine,congruent,f
delicate,feminine,blue,masculine,incongruent,f
stoic,masculine,blue,masculine,congruent,m
stoic,masculine,pink,feminine,incongruent,m
graceful,feminine,pink,feminine,congruent,f
graceful,feminine,blue,masculine,incongruent,f
rational,masculine,blue,masculine,congruent,m
rational,masculine,pink,feminine,incongruent,m
sensitive,feminine,pink,feminine,congruent,f
sensitive,feminine,blue,masculine,incongruent,f
tough,masculine,blue,masculine,congruent,m
tough,masculine,pink,feminine,incongruent,m
empathetic,feminine,pink,feminine,congruent,f
empathetic,feminine,blue,masculine,incongruent,f
independent,masculine,blue,masculine,congruent,m
independent,masculine,pink,feminine,incongruent,m
soft,feminine,pink,feminine,congruent,f
soft,feminine,blue,masculine,incongruent,f
commanding,masculine,blue,masculine,congruent,m
commanding,masculine,pink,feminine,incongruent,m
comforting,feminine,pink,feminine,congruent,f
comforting,feminine,blue,masculine,incongruent,f
muscular,masculine,blue,masculine,congruent,m
muscular,masculine,pink,feminine,incongruent,m
emotional,feminine,pink,feminine,congruent,f
emotional,feminine,blue,masculine,incongruent,f
adventurous,masculine,blue,masculine,congruent,m
adventurous,masculine,pink,feminine,incongruent,m
caring,feminine,pink,feminine,congruent,f
caring,feminine,blue,masculine,incongruent,f
